author,degree,betweenness,closeness,eigenvector
'Harry Loberman'],0.0009840098400984009,7.263852166080717e-07,0.001025010250102501,6.86904690576662e-18
['Amos Nathan',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Yona Mahler'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['P Frederick Brooks',0.001230012300123001,2.6634124608962626e-06,0.0018075832932242365,1.5670115797332931e-06
'L Albert Hopkins',0.0007380073800738007,0.0,0.0016629766297662977,1.482536156055141e-06
'Peter G. Neumann',0.002214022140221402,4.8425681107204775e-06,0.002445553867303379,6.101414551718608e-06
'William V. Wright'],0.0007380073800738007,0.0,0.0016629766297662977,1.482536156055141e-06
['Robert M. Howe',0.0004920049200492004,1.2106420276801194e-07,0.0004920049200492004,4.006269459784287e-29
'Elmer G. Gilbert'],0.0002460024600246002,0.0,0.0003280032800328003,2.832860302274036e-29
['Takeo Miura',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Hiroshi Amemiya',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Toshio Numakura'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Robert E. Horn',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Verne Gerald Fauque'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Jan A. Rajchman',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Hewitt D. Crane'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Bernard Lippel',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Irving J. Epstein'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Charles F. Pulvari',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'G. E. McDuffie'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Jack Morris Maughmer',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Harry D. Huskey'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['N. T. Grisamore',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Louis S. Rotolo',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'G.U. Uyehara'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['J. J. Gano',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'G. F. Sandy'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['R. Manasse',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Robert Price',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Robert M. Lerner'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'J. C. Shaw',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Ivan Flores',0.0004920049200492004,1.2106420276801194e-07,0.0004920049200492004,4.006269459784287e-29
'Frank L. Ragonese'],0.0002460024600246002,0.0,0.0003280032800328003,2.832860302274036e-29
['Charlotte Krause',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Rodger R Lowe'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Ladis D. Kovach',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'William Comley'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Harold S. Shapiro',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
